MONTH,CROWN_RECEIPTS,CROWN_DISPOSALS,CROWN_OUTSTANDING,MAGS_RECEIPTS,MAGS_DISPOSALS,MAGS_OUTSTANDING,MAGS_CHARGE TO DISPOSAL,CIVIL_ISSUED,CIVIL_DEFENDED,SMALL_CLAIMS_WEEKS,PRIVATE_RECEIPTS,PRIVATE_DISPOSALS,PRIVATE_OUTSTANDING,PRIVATE_RECEIPT TO FINAL ORDER_S8 CARE ORDERS,PUBLIC_RECEIPTS,PUBLIC_DISPOSALS,PUBLIC_OUTSTANDING,PUBLIC_TIME TO DISPOSAL_S31 CARE & SUPERVISION ORDERS,ET_RECEIPTS,ET_DISPOSALS,ET_OUTSTANDING,ET_AVERAGE CLEARANCE TIME SINGLE CLAIMS,IA_RECEIPTS,IA_DISPOSALS,IA_OUTSTANDING,IA_RECEIPT TO DISPOSAL,SSCS_RECEIPTS,SSCS_DISPOSALS,SSCS_OUTSTANDING,SSCS_AGE OF DISPOSAL
1-Apr-18,8097,8948,36173,124165,127242,301542,8.0,161541,23060,33.3,9343,7214,38568,25.0,2848,2092,16341,29.8,2844,1865,23290,23.4,3841,4504,36212,41.8,15793,17027,124337,26.3
1-May-18,8783,8718,36220,131252,132605,300178,8.2,160872,23074,34,9372,8057,38151,25.5,3223,2512,16307,30.5,3162,2207,24015,24.5,3992,4911,35431,39.8,18189,17770,125137,27.7
1-Jun-18,8709,9158,35728,125715,125205,300772,7.8,175743,24525,34.3,9917,7824,38731,24.3,3028,2363,16474,30.8,3205,2495,27747,28.5,4051,5309,34638,40.4,17027,17814,124674,28.3
1-Jul-18,8996,9293,35396,127758,131766,296692,7.3,180229,23817,34.8,10506,8694,39602,24.4,3093,2345,16544,31.1,3244,2323,29008,23.3,4024,5565,33471,39.1,16642,17136,124529,28.6
1-Aug-18,9136,9375,35087,130597,125055,302210,7.9,169000,24948,34.9,10340,8273,40555,23.7,2954,2199,16818,29.2,3199,2190,28159,24.4,3826,5443,32027,38.7,15478,16769,123588,28.1
1-Sep-18,7976,8552,34465,113547,116998,298861,8.2,168872,22488,35.3,9227,7212,41657,26.6,2775,2330,16814,31.3,2903,2177,27884,25.1,3385,4507,31547,36.8,13675,15519,121957,29.9
1-Oct-18,9123,9885,33663,135894,134647,299964,7.9,182093,26134,34.5,10603,8911,41981,26.3,3206,2391,17001,31.4,3222,2352,28169,25.8,4277,5871,29978,36.3,18063,18671,121486,29.9
1-Nov-18,8686,9733,32536,123597,127329,296214,7.6,200786,25876,36.3,10373,8404,42622,26.3,3238,2683,17176,30.4,3144,2664,29240,27.0,3273,4780,29408,37.7,18031,18636,121296,29.9
1-Dec-18,7280,7168,32627,104876,96244,304880,7.9,154101,20283,34.8,7487,6491,42990,26.2,2412,2084,17139,31.7,3016,1848,30018,27.9,2837,4107,27862,37.4,12330,13595,120200,29.2
1-Jan-19,9292,9076,32757,129700,133898,300691,8.4,194100,25497,37.4,9903,7764,43943,27.9,2541,2067,17230,32.2,3576,2870,31441,29.5,3052,4920,26601,39.6,16610,18330,118903,30.2
1-Feb-19,8223,8512,32437,123031,116683,307039,8.7,176586,23226,37,9795,7655,45037,27.7,2636,2107,17348,32.1,3831,2719,32545,28.2,3446,4372,25956,39.7,15870,17102,117955,30.6
1-Mar-19,8760,9122,32032,125192,126822,305578,7.8,170438,26429,36.8,10398,7909,46368,29.0,2961,2301,17571,34.4,3513,3334,31393,29.7,3818,5064,24779,37.6,17574,17331,118566,30.3
1-Apr-19,8552,8249,32288,117234,123289,299456,,148978,25820,36.5,,,,,,,,,3411,2297,31631,28.3,3649,4082,24791,34.8,16531,16462,118964,29.8
